CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
3444 - BABY EQUIPMENT,MEDICINE & BABY CARE,4.71,4.42,-0.0616,19.0,19.67,0.0353,1.41,1.59,0.1277,154629.0,138515.0,-0.1042,218027.0,220239.0,0.0101,27.0,37.0,0.3704,0.0026,0.0027,0.0385
3446 - BABY LIQUID CLEANSER,MEDICINE & BABY CARE,1.16,1.1,-0.0517,211.0,203.33,-0.0364,1.22,1.37,0.123,25764.0,25649.0,-0.0045,31432.0,35139.0,0.1179,345.0,444.0,0.287,0.0337,0.0319,-0.0534
2321 - POCKET CANDY,MEJA KASIR,1.44,1.57,0.0903,5238.5,4527.33,-0.1358,1.39,1.49,0.0719,9580.0,11361.0,0.1859,13316.0,16928.0,0.2713,7555.0,9110.0,0.2058,0.4407,0.4294,-0.0256
2332 - BLOCK CHOCOLATE,MEJA KASIR,1.54,1.39,-0.0974,3397.5,2321.67,-0.3167,1.29,1.33,0.031,28049.0,24412.0,-0.1297,36183.0,32468.0,-0.1027,5268.0,5242.0,-0.0049,0.3073,0.2471,-0.1959
2341 - POCKET CHEWING GUM,MEJA KASIR,1.37,1.16,-0.1533,453.5,416.0,-0.0827,1.1,1.17,0.0636,6696.0,6319.0,-0.0563,7366.0,7393.0,0.0037,821.0,1066.0,0.2984,0.0479,0.0502,0.048
2342 - BOTTLE CHEWING GUM,MEJA KASIR,1.06,1.06,0.0,191.0,267.0,0.3979,1.1,1.16,0.0545,14167.0,14307.0,0.0099,15584.0,16596.0,0.0649,346.0,692.0,1.0,0.0202,0.0326,0.6139
2343 - BAG CHEWING GUM,MEJA KASIR,1.01,1.11,0.099,34.5,44.33,0.2849,1.23,1.17,-0.0488,15439.0,16566.0,0.073,18990.0,19382.0,0.0206,56.0,114.0,1.0357,0.0033,0.0054,0.6364
3117 - KIDS VITAMINS,MEJA KASIR,1.19,1.22,0.0252,433.0,386.0,-0.1085,1.25,1.27,0.016,30610.0,30480.0,-0.0042,38262.0,38710.0,0.0117,692.0,915.0,0.3223,0.0404,0.0431,0.0668
3122 - PREGNANT TEST & CONTRACEPTION,MEJA KASIR,1.26,1.25,-0.0079,724.0,768.67,0.0617,1.22,1.27,0.041,28668.0,26674.0,-0.0696,34975.0,33876.0,-0.0314,1191.0,1814.0,0.5231,0.0695,0.0855,0.2302
4111 - ALKALINE,MEJA KASIR,1.15,1.18,0.0261,349.0,328.67,-0.0583,1.06,1.06,0.0,40438.0,41316.0,0.0217,42864.0,43795.0,0.0217,658.0,932.0,0.4164,0.0384,0.0439,0.1432
4112 - ZINC CARBON,MEJA KASIR,1.16,1.15,-0.0086,647.0,658.67,0.018,1.05,1.1,0.0476,20873.0,20652.0,-0.0106,21917.0,22717.0,0.0365,1229.0,1798.0,0.463,0.0717,0.0847,0.1813
4633 - LEISURE BAG,MEJA KASIR,1.04,1.04,0.0,2384.5,2412.67,0.0118,1.31,1.43,0.0916,3951.0,3846.0,-0.0266,5176.0,5500.0,0.0626,3629.0,5066.0,0.396,0.2117,0.2388,0.128
1911 - INSTANT NOODLE BAG,NOODLE,4.15,4.17,0.0048,3056.0,3187.67,0.0431,1.6,1.79,0.1187,17661.0,18203.0,0.0307,28258.0,32583.0,0.1531,3820.0,5335.0,0.3966,0.8731,0.8865,0.0153
1912 - INSTANT NOODLE CUP,NOODLE,2.21,2.13,-0.0362,495.0,459.67,-0.0714,1.3,1.34,0.0308,13623.0,12770.0,-0.0626,17710.0,17112.0,-0.0338,764.0,1027.0,0.3442,0.1746,0.1707,-0.0223
1913 - INSTANT RICE NOODLE,NOODLE,2.33,2.56,0.0987,131.5,126.0,-0.0418,1.31,1.3,-0.0076,9913.0,10859.0,0.0954,12986.0,14117.0,0.0871,201.0,290.0,0.4428,0.0459,0.0482,0.0501
1914 - PREPARED NOODLE,NOODLE,1.49,1.47,-0.0134,75.0,75.33,0.0044,1.16,1.26,0.0862,10554.0,10612.0,0.0055,12243.0,13371.0,0.0921,129.0,180.0,0.3953,0.0295,0.0299,0.0136
1923 - INSTANT PORRIDGE,NOODLE,2.77,2.56,-0.0758,58.0,66.67,0.1495,1.1,1.2,0.0909,12840.0,11728.0,-0.0866,14124.0,14074.0,-0.0035,105.0,167.0,0.5905,0.024,0.0278,0.1583
4314 - STICKER & ALBUM,STICKER,1.18,1.15,-0.0254,22.0,29.0,0.3182,1.0,1.1,0.1,17820.0,18620.0,0.0449,17820.0,20482.0,0.1494,44.0,79.0,0.7955,1.0,1.0,0.0
3311 - FACIAL TISSUE,TISSUE,1.25,1.27,0.016,4416.0,4114.67,-0.0682,1.29,1.39,0.0775,25459.0,25458.0,-0.0,32842.0,35387.0,0.0775,6854.0,8869.0,0.294,0.9095,0.9075,-0.0022
3312 - HOUSE HOLD TISSUE,TISSUE,1.22,1.22,0.0,307.5,304.0,-0.0114,1.26,1.37,0.0873,29105.0,28293.0,-0.0279,36672.0,38761.0,0.057,489.0,665.0,0.3599,0.0649,0.068,0.0478
3313 - WET TISSUE,TISSUE,1.17,1.18,0.0085,519.0,479.67,-0.0758,1.18,1.24,0.0508,19482.0,18806.0,-0.0347,22989.0,23319.0,0.0144,881.0,1165.0,0.3224,0.1169,0.1192,0.0197
3123 - ANTISEPTIC,TOOTH CARE,1.11,1.16,0.045,184.0,171.0,-0.0707,1.12,1.16,0.0357,14709.0,15344.0,0.0432,16474.0,17799.0,0.0804,330.0,441.0,0.3364,0.0244,0.0238,-0.0246
3271 - TOOTH BRUSH,TOOTH CARE,1.09,1.1,0.0092,2525.0,2592.0,0.0265,1.08,1.13,0.0463,17723.0,18494.0,0.0435,19141.0,20898.0,0.0918,4666.0,6880.0,0.4745,0.3457,0.3715,0.0746
3272 - TOOTH PASTE,TOOTH CARE,1.28,1.31,0.0234,6066.5,6300.0,0.0385,1.21,1.35,0.1157,24980.0,25763.0,0.0313,30226.0,34780.0,0.1507,10041.0,13995.0,0.3938,0.7438,0.7556,0.0159
3273 - MOUTHWASH,TOOTH CARE,1.12,1.1,-0.0179,583.5,626.33,0.0734,1.15,1.23,0.0696,25887.0,25567.0,-0.0124,29770.0,31447.0,0.0563,1019.0,1530.0,0.5015,0.0755,0.0826,0.094
3275 - TOOTH CARE PACK,TOOTH CARE,1.11,1.07,-0.036,280.0,281.33,0.0047,1.04,1.05,0.0096,18973.0,18075.0,-0.0473,19732.0,18979.0,-0.0382,536.0,803.0,0.4981,0.0397,0.0434,0.0932
4313 - GAMES & ACCESSORIES,TOY'S,1.47,1.21,-0.1769,15.0,11.0,-0.2667,1.0,1.06,0.06,17753.0,14552.0,-0.1803,17753.0,15425.0,-0.1311,30.0,31.0,0.0333,0.0283,0.0228,-0.1943
4611 - TOYS,TOY'S,1.28,1.26,-0.0156,651.0,596.67,-0.0835,1.26,1.34,0.0635,50090.0,53014.0,0.0584,63113.0,71039.0,0.1256,1035.0,1338.0,0.2928,0.9755,0.9824,0.0071
5916 - BEAUTY ACCESSORIES IMPORT,WS CARACTER,1.0,,,1.0,,,1.0,,,16400.0,,,16400.0,,,2.0,,,1.0,,
