CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
1154 - RTD TEA,CHILLER,1.58,2.04,0.2911,672.5,595.67,-0.1142,1.51,1.79,0.1854,7685.0,11490.0,0.4951,11604.0,20567.0,0.7724,889.0,1001.0,0.126,0.1282,0.1246,-0.0281,698.0,656.0,283.0,478.0,0.7115,0.5785,0.2885,0.4215
1156 - RTD COFFEE,CHILLER,1.46,1.33,-0.089,390.5,366.67,-0.061,1.36,1.44,0.0588,10046.0,8862.0,-0.1179,13663.0,12761.0,-0.066,573.0,763.0,0.3316,0.0744,0.0767,0.0309,220.0,486.0,414.0,387.0,0.347,0.5567,0.653,0.4433
2022 - SPECIALTY LIQUID MILK,CHILLER,2.26,2.11,-0.0664,23.5,36.67,0.5604,1.21,1.49,0.2314,21311.0,21905.0,0.0279,25786.0,32638.0,0.2657,39.0,74.0,0.8974,0.0045,0.0077,0.7111,34.0,47.0,6.0,43.0,0.85,0.5222,0.15,0.4778
2023 - TETRAPACK LIQUID MILK,CHILLER,2.05,2.25,0.0976,1236.0,1280.67,0.0361,1.58,1.76,0.1139,13462.0,14168.0,0.0524,21270.0,24936.0,0.1724,1564.0,2185.0,0.3971,0.2356,0.2679,0.1371,928.0,1513.0,956.0,1137.0,0.4926,0.5709,0.5074,0.4291
2024 - BOTTLE - CAN LIQUID MILK,CHILLER,2.71,2.99,0.1033,413.5,436.0,0.0544,1.29,1.43,0.1085,30149.0,25190.0,-0.1645,38892.0,36022.0,-0.0738,642.0,915.0,0.4252,0.0788,0.0912,0.1574,460.0,670.0,251.0,371.0,0.647,0.6436,0.353,0.3564
2025 - PLANT BASED LIQUID MILK,CHILLER,1.4,1.45,0.0357,81.0,102.33,0.2633,1.3,1.47,0.1308,11609.0,15184.0,0.308,15092.0,22320.0,0.4789,125.0,209.0,0.672,0.0154,0.0214,0.3896,30.0,119.0,101.0,114.0,0.229,0.5107,0.771,0.4893
6212 - YOGHURT,CHILLER,1.77,1.7,-0.0395,545.5,500.0,-0.0834,1.36,1.46,0.0735,12048.0,11755.0,-0.0243,16385.0,17162.0,0.0474,800.0,1024.0,0.28,0.104,0.1046,0.0058,251.0,317.0,670.0,867.0,0.2725,0.2677,0.7275,0.7323
6218 - PUDDING,CHILLER,1.63,1.29,-0.2086,35.5,52.0,0.4648,1.25,1.43,0.144,10342.0,9712.0,-0.0609,12928.0,13888.0,0.0743,57.0,109.0,0.9123,0.0068,0.0109,0.6029,18.0,65.0,41.0,57.0,0.3051,0.5328,0.6949,0.4672
6226 - CHILLED MEAT BALLS,CHILLER,1.32,1.28,-0.0303,130.0,106.67,-0.1795,1.3,1.24,-0.0462,11775.0,11403.0,-0.0316,15308.0,14140.0,-0.0763,200.0,258.0,0.29,0.0248,0.0223,-0.1008,40.0,78.0,172.0,196.0,0.1887,0.2847,0.8113,0.7153
6227 - CHILLED SAUSAGES,CHILLER,1.61,1.67,0.0373,718.5,684.33,-0.0476,1.43,1.57,0.0979,14423.0,14905.0,0.0334,20625.0,23401.0,0.1346,1006.0,1304.0,0.2962,0.1369,0.1431,0.0453,518.0,587.0,662.0,937.0,0.439,0.3852,0.561,0.6148
