BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
DILAN,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.26,,,13.5,,,1.04,,,6204.0,,,6452.0,,,26.0,,
FERRERO,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.59,1.37,-0.1384,35.0,29.0,-0.1714,1.06,1.23,0.1604,45227.0,39068.0,-0.1362,47941.0,48054.0,0.0024,66.0,71.0,0.0758
JLO,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.12,1.16,0.0357,55.0,58.0,0.0545,1.1,1.09,-0.0091,14154.0,14852.0,0.0493,15569.0,16189.0,0.0398,100.0,159.0,0.59
KALPA,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.18,1.0,-0.1525,68.5,4.33,-0.9368,1.13,1.0,-0.115,6346.0,4500.0,-0.2909,7171.0,4500.0,-0.3725,121.0,13.0,-0.8926
KINDER BUENO,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.37,1.39,0.0146,72.5,48.67,-0.3287,1.24,1.2,-0.0323,25294.0,26042.0,0.0296,31365.0,31250.0,-0.0037,117.0,122.0,0.0427
KINDER CREAMY,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,2.09,1.32,-0.3684,119.0,137.33,0.154,1.13,1.21,0.0708,17203.0,10915.0,-0.3655,19439.0,13207.0,-0.3206,211.0,340.0,0.6114
KINDER JOY,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.47,1.41,-0.0408,561.0,482.33,-0.1402,1.25,1.3,0.04,24134.0,23445.0,-0.0285,30168.0,30478.0,0.0103,898.0,1110.0,0.2361
KIT KAT,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.35,1.26,-0.0667,134.5,128.33,-0.0459,1.11,1.15,0.036,22957.0,21332.0,-0.0708,25482.0,24532.0,-0.0373,242.0,334.0,0.3802
SNICKERS,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.45,1.68,0.1586,58.0,86.67,0.4943,1.06,1.16,0.0943,15241.0,17688.0,0.1606,16155.0,20518.0,0.2701,109.0,225.0,1.0642
TOP,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.57,1.51,-0.0382,26.5,65.67,1.4781,1.06,1.11,0.0472,8625.0,8146.0,-0.0555,9142.0,9042.0,-0.0109,50.0,178.0,2.56
WONHAE,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.18,1.3,0.1017,103.0,119.33,0.1585,1.11,1.18,0.0631,18610.0,20218.0,0.0864,20657.0,23857.0,0.1549,186.0,303.0,0.629
BENG-BENG,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.18,1.19,0.0085,453.5,513.0,0.1312,1.18,1.21,0.0254,17401.0,17370.0,-0.0018,20533.0,21018.0,0.0236,768.0,1277.0,0.6628
BLASTOZ,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.02,1.11,0.0882,49.5,32.0,-0.3535,1.15,1.13,-0.0174,11128.0,12218.0,0.098,12797.0,13806.0,0.0788,86.0,85.0,-0.0116
DELFI,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.21,1.26,0.0413,263.0,272.67,0.0368,1.26,1.46,0.1587,16559.0,16933.0,0.0226,20864.0,24722.0,0.1849,419.0,561.0,0.3389
DILAN,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.13,1.04,-0.0796,26.5,55.33,1.0879,1.02,1.04,0.0196,16085.0,14527.0,-0.0969,16407.0,15108.0,-0.0792,52.0,160.0,2.0769
KALPA,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.09,1.05,-0.0367,70.0,49.33,-0.2953,1.19,1.14,-0.042,17053.0,16671.0,-0.0224,20293.0,19005.0,-0.0635,118.0,130.0,0.1017
L'AGIE,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.0,,,3.5,,,1.0,,,8514.0,,,8514.0,,,7.0,,
NABATI,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.02,1.07,0.049,43.5,25.33,-0.4177,1.02,1.1,0.0784,10136.0,10600.0,0.0458,10339.0,11660.0,0.1278,85.0,69.0,-0.1882
NIMS,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,,1.33,,,1.0,,,1.0,,,30133.0,,,30133.0,,,3.0,
SNICKERS,2331C - ENROBED CHOCOLATE >50G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.4,1.55,0.1071,96.5,110.33,0.1433,1.19,1.15,-0.0336,19563.0,21615.0,0.1049,23280.0,24857.0,0.0677,162.0,289.0,0.784
CHOKI-CHOKI,2331D - ENROBED CHOCOLATE PASTA,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.19,1.3,0.0924,200.0,235.33,0.1767,1.14,1.22,0.0702,8783.0,10519.0,0.1977,10013.0,12833.0,0.2816,352.0,578.0,0.642
APOLLO,2331E - ENROBED CHOCOLATE PACKED,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,51900.0,,,51900.0,,,1.0,,
FERRERO,2331E - ENROBED CHOCOLATE PACKED,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,115900.0,129000.0,0.113,115900.0,129000.0,0.113,1.0,2.0,1.0
CHA CHA,2333A - DRAGEES CHOCOLATE 10-29G,2333 - DRAGEES CHOCOLATE,BISC & CONFECTIONARY,1.27,1.23,-0.0315,289.0,231.33,-0.1996,1.14,1.18,0.0351,11318.0,10771.0,-0.0483,12903.0,12710.0,-0.015,508.0,589.0,0.1594
MILO,2333A - DRAGEES CHOCOLATE 10-29G,2333 - DRAGEES CHOCOLATE,BISC & CONFECTIONARY,1.34,1.2,-0.1045,99.5,92.33,-0.0721,1.17,1.15,-0.0171,18705.0,16951.0,-0.0938,21885.0,19494.0,-0.1093,170.0,241.0,0.4176
CHA CHA,2333B - DRAGEES CHOCOLATE 30-49G,2333 - DRAGEES CHOCOLATE,BISC & CONFECTIONARY,1.44,1.25,-0.1319,629.0,450.67,-0.2835,1.19,1.24,0.042,14489.0,12767.0,-0.1188,17242.0,15831.0,-0.0818,1056.0,1094.0,0.036
M&M'S,2333B - DRAGEES CHOCOLATE 30-49G,2333 - DRAGEES CHOCOLATE,BISC & CONFECTIONARY,,1.0,,,1.33,,,1.0,,,14900.0,,,14900.0,,,4.0,
