BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
KENMASTER,4161A - BUILDING HARDWARE,4161 - BUILDING HARDWARE,MISC & STATIONARY,1.0,1.16,0.16,11.5,6.33,-0.4496,30926.0,35795.0,0.1574,23.0,19.0,-0.1739
XANDER,4161A - BUILDING HARDWARE,4161 - BUILDING HARDWARE,MISC & STATIONARY,1.06,1.0,-0.0566,8.5,7.0,-0.1765,41959.0,39852.0,-0.0502,17.0,20.0,0.1765
AICA AIBON,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.08,1.03,-0.0463,6.5,9.67,0.4877,23008.0,21769.0,-0.0539,13.0,28.0,1.1538
ALFAMART,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.01,1.04,0.0297,36.5,40.67,0.1142,9077.0,9347.0,0.0297,73.0,121.0,0.6575
ALTECO,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.09,1.02,-0.0642,11.0,14.67,0.3336,11345.0,10555.0,-0.0696,22.0,44.0,1.0
DEXTONE,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.0,1.12,0.12,3.5,2.67,-0.2371,18429.0,10875.0,-0.4099,7.0,8.0,0.1429
KENKO,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.07,1.01,-0.0561,15.0,24.67,0.6447,10367.0,9184.0,-0.1141,30.0,72.0,1.4
UHU,4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.03,1.05,0.0194,17.5,12.33,-0.2954,19411.0,19811.0,0.0206,33.0,37.0,0.1212
A,4224A - PARTY ACCESSORIES ASSORT,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.16,1.12,-0.0345,9.5,8.0,-0.1579,11663.0,11321.0,-0.0293,19.0,23.0,0.2105
ALFAMART,4224A - PARTY ACCESSORIES ASSORT,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.08,1.1,0.0185,131.5,130.67,-0.0063,13386.0,13493.0,0.008,241.0,338.0,0.4025
ALFA,4224B - PARTY ACCESSORIES,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.24,1.33,0.0726,12.5,5.0,-0.6,7408.0,8167.0,0.1025,25.0,15.0,-0.4
ALFAMART,4224B - PARTY ACCESSORIES,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.21,1.23,0.0165,43.0,52.0,0.2093,10917.0,11256.0,0.0311,83.0,148.0,0.7831
ALFAMART,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.07,1.07,0.0,87.0,85.33,-0.0192,10425.0,10415.0,-0.001,169.0,240.0,0.4201
BAGUS,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.45,1.0,-0.3103,10.0,5.67,-0.433,45445.0,29729.0,-0.3458,19.0,17.0,-0.1053
COOGER,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,1.0,0.0,0.5,1.33,1.66,29900.0,28150.0,-0.0585,1.0,4.0,3.0
DISNEY,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,,,0.5,,,33200.0,,,1.0,,
ECENTIO,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,1.06,0.06,3.0,5.33,0.7767,31567.0,34194.0,0.0832,6.0,16.0,1.6667
FLIPPER,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,,,0.5,,,5900.0,,,1.0,,
FREEMIR,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,1.0,0.0,0.5,1.33,1.66,34900.0,40025.0,0.1468,1.0,4.0,3.0
FROZEN,4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.0,,,1.0,,,53500.0,,,2.0,,
BRIGHT GAS,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.06,1.02,-0.0377,117.5,143.67,0.2227,193596.0,178766.0,-0.0766,195.0,328.0,0.6821
GEMA COLLECTIONS,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.07,1.07,0.0,36.5,32.0,-0.1233,31000.0,31048.0,0.0015,67.0,84.0,0.2537
HI-COOK,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.23,1.3,0.0569,96.5,99.67,0.0328,34841.0,36050.0,0.0347,174.0,255.0,0.4655
KENMASTER,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.0,1.0,0.0,1.0,0.67,-0.33,20500.0,20500.0,0.0,1.0,2.0,1.0
OIKOS,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.5,,,1.0,,,41850.0,,,2.0,,
WONDER,4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.1,1.11,0.0091,44.0,27.33,-0.3789,33399.0,33626.0,0.0068,81.0,82.0,0.0123
BAGUS,4252A - CLEANING ACCESSORIES,4252 - CLEANING ACCESSORIES,MISC & STATIONARY,1.33,1.2,-0.0977,3.0,3.33,0.11,37767.0,34560.0,-0.0849,5.0,8.0,0.6
KLIN PAK,4252A - CLEANING ACCESSORIES,4252 - CLEANING ACCESSORIES,MISC & STATIONARY,1.12,1.22,0.0893,8.0,3.0,-0.625,28219.0,30333.0,0.0749,15.0,9.0,-0.4
ALFA,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,3.47,3.61,0.0403,166.5,215.0,0.2913,19026.0,19744.0,0.0377,226.0,392.0,0.7345
BIO,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.5,6.5,3.3333,1.0,0.67,-0.33,21000.0,91000.0,3.3333,1.0,2.0,1.0
CAT CHOIZE,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.33,4.22,2.1729,1.5,3.0,1.0,9867.0,27511.0,1.7882,2.0,5.0,1.5
KITEKAT,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.64,2.08,0.2683,32.0,55.67,0.7397,11391.0,13754.0,0.2074,50.0,107.0,1.14
LIFE CAT,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.12,1.3,0.1607,28.5,35.0,0.2281,19575.0,20365.0,0.0404,54.0,84.0,0.5556
MARKOTOPS,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.5,2.0,-0.2,1.0,0.33,-0.67,42250.0,35800.0,-0.1527,2.0,1.0,-0.5
MAXI,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.5,1.0,-0.3333,1.0,0.67,-0.33,26250.0,17500.0,-0.3333,2.0,2.0,0.0
ME-O,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.96,3.12,0.5918,218.5,280.0,0.2815,18612.0,27644.0,0.4853,303.0,464.0,0.5314
SUPERCAT,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.0,,,0.5,,,19000.0,,,1.0,,
WHISKAS,4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.6,2.64,0.0154,265.0,241.0,-0.0906,23767.0,26443.0,0.1126,317.0,388.0,0.224
CESAR,4311B - DOG FOODS,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.0,,,0.5,,,20000.0,,,1.0,,
PEDIGREE,4311B - DOG FOODS,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,4.53,3.58,-0.2097,9.5,6.33,-0.3337,108884.0,116663.0,0.0714,12.0,13.0,0.0833
SMARTHEART,4311B - DOG FOODS,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,,1.0,,,0.67,,,70950.0,,,2.0,
ALFAMART,4311C - PET ACCESSORIES,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,,2.0,,,0.33,,,59800.0,,,1.0,
CAT COMFY,4311C - PET ACCESSORIES,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.0,1.0,0.0,18.0,16.33,-0.0928,41639.0,41882.0,0.0058,26.0,25.0,-0.0385
ALFAMART,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.15,1.13,-0.0174,206.0,230.0,0.1165,33434.0,32844.0,-0.0176,285.0,421.0,0.4772
CAT CHOIZE,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.21,1.16,-0.0413,121.0,109.0,-0.0992,35752.0,34650.0,-0.0308,193.0,241.0,0.2487
KITEKAT,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.17,20.0,16.094,14.5,0.33,-0.9772,22324.0,114000.0,4.1066,27.0,1.0,-0.963
KITTIE BITTIE,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.55,1.11,-0.2839,51.0,64.67,0.268,11042.0,7939.0,-0.281,70.0,126.0,0.8
ME-O,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.14,1.17,0.0263,84.0,76.0,-0.0952,19046.0,22021.0,0.1562,131.0,159.0,0.2137
SMARTHEART,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.0,,,0.5,,,28900.0,,,1.0,,
WHISKAS,4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.15,1.22,0.0609,92.0,75.0,-0.1848,28091.0,32349.0,0.1516,135.0,168.0,0.2444
ALFAMART,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.5,1.69,0.1267,37.0,39.67,0.0722,22841.0,26295.0,0.1512,54.0,72.0,0.3333
BIO,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.27,1.32,0.0394,13.0,7.33,-0.4362,23965.0,25373.0,0.0588,23.0,18.0,-0.2174
DELI-JOY,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.21,1.08,-0.1074,12.0,4.33,-0.6392,28879.0,25692.0,-0.1104,20.0,13.0,-0.35
KITTIE BITTIE,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,7.67,2.0,-0.7392,1.5,1.33,-0.1133,44467.0,11850.0,-0.7335,3.0,3.0,0.0
ME-O,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.49,1.32,-0.1141,40.5,47.67,0.177,33122.0,28279.0,-0.1462,60.0,127.0,1.1167
SUPERCAT,4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.0,,,0.5,,,19000.0,,,1.0,,
ALFA,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.07,1.02,-0.0467,7.5,13.33,0.7773,32187.0,31120.0,-0.0332,15.0,40.0,1.6667
ALFAMART,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.2,1.16,-0.0333,101.0,106.0,0.0495,13541.0,13079.0,-0.0341,190.0,301.0,0.5842
KENKO,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.1,1.15,0.0455,41.5,51.33,0.2369,17383.0,17544.0,0.0093,82.0,148.0,0.8049
KENMASTER,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.05,1.04,-0.0095,10.5,9.33,-0.1114,21114.0,20896.0,-0.0103,21.0,28.0,0.3333
SCOTCH,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,,1.0,,,1.0,,,30333.0,,,3.0,
WIGGLE,4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.0,1.0,0.0,8.5,2.67,-0.6859,9935.0,9925.0,-0.001,17.0,8.0,-0.5294
ADINATA,4512A - PAPER PRODUCT OFFICE,4512 - PAPER PRODUCT,MISC & STATIONARY,1.11,1.0,-0.0991,4.5,3.0,-0.3333,40689.0,36144.0,-0.1117,9.0,9.0,0.0
KENKO,4512A - PAPER PRODUCT OFFICE,4512 - PAPER PRODUCT,MISC & STATIONARY,1.06,1.12,0.0566,8.5,8.33,-0.02,12576.0,13592.0,0.0808,17.0,25.0,0.4706
KIKY,4512A - PAPER PRODUCT OFFICE,4512 - PAPER PRODUCT,MISC & STATIONARY,1.14,1.06,-0.0702,18.0,17.33,-0.0372,12378.0,10444.0,-0.1562,36.0,52.0,0.4444
KIKY,4512B - PAPER PRODUCT,4512 - PAPER PRODUCT,MISC & STATIONARY,1.0,1.0,0.0,6.5,8.0,0.2308,26538.0,26629.0,0.0034,12.0,23.0,0.9167
ADINATA,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,5.0,5.0,0.0,31400.0,30140.0,-0.0401,10.0,15.0,0.5
ALFAMART,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.12,1.04,-0.0714,8.0,8.67,0.0837,5512.0,4588.0,-0.1676,16.0,26.0,0.625
CRAYOLA,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.33,1.0,-0.2481,1.5,1.0,-0.3333,66533.0,49900.0,-0.25,3.0,3.0,0.0
DISNEY STICKER,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,,,0.5,,,14500.0,,,1.0,,
EMCO,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,0.5,0.67,0.34,49900.0,49900.0,0.0,1.0,2.0,1.0
FABER-CASTELL,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,5.5,3.67,-0.3327,22682.0,9755.0,-0.5699,11.0,11.0,0.0
KENKO,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.03,1.06,0.0291,14.5,26.33,0.8159,13424.0,11262.0,-0.1611,29.0,74.0,1.5517
KIKY,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,,,1.0,,,20600.0,,,2.0,,
SANREGO,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,2.0,1.33,-0.335,29900.0,29900.0,0.0,4.0,4.0,0.0
SANRIO,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.0,3.0,2.0,1.0,0.33,-0.67,15900.0,47700.0,2.0,2.0,1.0,-0.5
WIGGLE,4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.61,1.56,-0.0311,33.0,32.0,-0.0303,15270.0,15302.0,0.0021,63.0,95.0,0.5079
ALFAMART,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.0,1.07,0.07,6.0,4.67,-0.2217,7500.0,8050.0,0.0733,12.0,14.0,0.1667
FABER-CASTELL,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.0,1.02,0.02,10.0,13.67,0.367,22105.0,27366.0,0.238,19.0,40.0,1.1053
FASTER,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,4.5,2.33,-0.4822,14678.0,13786.0,-0.0608,9.0,7.0,-0.2222
KENKO,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.04,1.04,0.0,41.0,51.67,0.2602,13770.0,13917.0,0.0107,79.0,147.0,0.8608
PILOT,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.0,1.04,0.04,9.5,9.33,-0.0179,8984.0,9204.0,0.0245,19.0,28.0,0.4737
SNOWMAN,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.06,1.07,0.0094,25.5,27.0,0.0588,15227.0,17142.0,0.1258,50.0,80.0,0.6
STANDARD,4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.0,1.0,0.0,0.5,3.0,5.0,17100.0,15733.0,-0.0799,1.0,8.0,7.0
KIKY,4514A - WRITING BOOK,4514 - WRITING BOOK,MISC & STATIONARY,1.07,1.19,0.1121,13.5,20.67,0.5311,9733.0,11173.0,0.148,24.0,62.0,1.5833
SPIDERMAN,4514A - WRITING BOOK,4514 - WRITING BOOK,MISC & STATIONARY,1.0,,,0.5,,,26500.0,,,1.0,,
ADINATA,4515A - COLOURING BOOK,4515 - COLOURING BOOK,MISC & STATIONARY,1.0,1.12,0.12,2.5,2.67,0.068,24040.0,26800.0,0.1148,5.0,8.0,0.6
CRAYOLA,4515A - COLOURING BOOK,4515 - COLOURING BOOK,MISC & STATIONARY,1.0,2.0,1.0,0.5,0.33,-0.34,16900.0,45800.0,1.7101,1.0,1.0,0.0
KIKY,4516A - DRAWING BOOK,4516 - DRAWING BOOK,MISC & STATIONARY,1.17,1.03,-0.1197,6.0,11.0,0.8333,10400.0,9367.0,-0.0993,11.0,32.0,1.9091
POS INDONESIA,4521A - MAIL MATERIAL,4521 - MAIL MATERIAL,MISC & STATIONARY,2.9,3.0,0.0345,247.0,265.0,0.0729,33547.0,34642.0,0.0326,424.0,705.0,0.6627
ALFAMART,4521B - MAIL MATERIAL AMPLOP,4521 - MAIL MATERIAL,MISC & STATIONARY,1.07,1.06,-0.0093,37.5,39.33,0.0488,5941.0,5920.0,-0.0035,75.0,115.0,0.5333
CARRERA,4721A - CLEANING KIT SPON,4721 - CLEANING KIT,MISC & STATIONARY,2.0,2.29,0.145,3.0,2.33,-0.2233,18000.0,20571.0,0.1428,6.0,7.0,0.1667
KENMASTER,4721A - CLEANING KIT SPON,4721 - CLEANING KIT,MISC & STATIONARY,1.0,,,2.0,,,48675.0,,,4.0,,
UNIK,4721A - CLEANING KIT SPON,4721 - CLEANING KIT,MISC & STATIONARY,1.0,1.15,0.15,10.0,8.67,-0.133,14235.0,16588.0,0.1653,20.0,26.0,0.3
CARRERA,4721C - CLEANING KIT CAIR,4721 - CLEANING KIT,MISC & STATIONARY,1.83,1.86,0.0164,6.0,2.33,-0.6117,23800.0,27000.0,0.1345,10.0,7.0,-0.3
GLO,4721C - CLEANING KIT CAIR,4721 - CLEANING KIT,MISC & STATIONARY,1.0,1.08,0.08,9.0,8.33,-0.0744,17361.0,21320.0,0.228,18.0,25.0,0.3889
KIT,4721C - CLEANING KIT CAIR,4721 - CLEANING KIT,MISC & STATIONARY,1.28,1.29,0.0078,66.0,78.33,0.1868,23799.0,23425.0,-0.0157,125.0,212.0,0.696
MEGACOOLS,4731A - LUBRICANT - UPKEEP,4731 - LUBRICANT & UPKEEP,MISC & STATIONARY,1.0,1.0,0.0,4.5,4.33,-0.0378,35622.0,35977.0,0.01,9.0,13.0,0.4444
PERTAMINA,4731A - LUBRICANT - UPKEEP,4731 - LUBRICANT & UPKEEP,MISC & STATIONARY,9.0,,,0.5,,,757800.0,,,1.0,,
KENMASTER,4751A - MOTORCYCLE ACCESSORIES,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.0,1.0,0.0,0.5,0.67,0.34,39000.0,39250.0,0.0064,1.0,2.0,1.0
ALFAMART,4751B - RAIN COAT,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.24,1.27,0.0242,96.5,72.33,-0.2505,22698.0,23377.0,0.0299,180.0,206.0,0.1444
ELMONDO,4751B - RAIN COAT,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.0,1.0,0.0,5.5,7.33,0.3327,50464.0,50236.0,-0.0045,11.0,22.0,1.0
SCORLINES,4751B - RAIN COAT,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.15,1.3,0.1304,85.5,62.67,-0.267,18405.0,20909.0,0.136,164.0,187.0,0.1402
TUGAS NEGARA BOS,4751B - RAIN COAT,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.07,1.03,-0.0374,14.5,11.33,-0.2186,107334.0,103894.0,-0.032,28.0,34.0,0.2143
ALFA,4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.0,1.08,0.08,4.0,4.33,0.0825,14088.0,15431.0,0.0953,7.0,11.0,0.5714
ALFAMART,4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.15,1.25,0.087,54.5,38.33,-0.2967,14256.0,16893.0,0.185,96.0,108.0,0.125
NEXCARE,4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.06,1.15,0.0849,48.0,60.67,0.264,10552.0,11401.0,0.0805,80.0,148.0,0.85
SKRINEER,4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.16,1.09,-0.0603,57.0,56.67,-0.0058,14418.0,14173.0,-0.017,100.0,143.0,0.43
THANKFUL,4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.22,1.08,-0.1148,37.0,68.33,0.8468,11419.0,10044.0,-0.1204,64.0,171.0,1.6719
ALFAMART,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.13,1.13,0.0,115.0,113.67,-0.0116,15103.0,15746.0,0.0426,226.0,324.0,0.4336
ANYTIME,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.0,1.03,0.03,10.0,11.33,0.133,16110.0,16582.0,0.0293,19.0,34.0,0.7895
POKANA,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.11,1.11,0.0,23.5,30.0,0.2766,12851.0,12059.0,-0.0616,33.0,58.0,0.7576
SENSI,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.12,1.1,-0.0179,79.5,71.67,-0.0985,26618.0,26433.0,-0.007,137.0,181.0,0.3212
SKRINEER,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.06,1.12,0.0566,35.5,39.67,0.1175,23920.0,25572.0,0.0691,67.0,107.0,0.597
SOFTIES,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.15,1.16,0.0087,147.0,159.0,0.0816,17937.0,18088.0,0.0084,243.0,363.0,0.4938
THANKFUL,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,1.5,7.33,3.8867,9567.0,9495.0,-0.0075,3.0,21.0,6.0
WINGSCARE,4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.14,1.17,0.0263,7.0,2.0,-0.7143,10614.0,11083.0,0.0442,14.0,6.0,-0.5714
ALFAMART,4753C - REUSABLE MASK,4753 - MASK,MISC & STATIONARY,,1.0,,,0.33,,,15200.0,,,1.0,
DISNEY,4753C - REUSABLE MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,1.0,0.67,-0.33,14900.0,14900.0,0.0,2.0,2.0,0.0
MASKER,4753C - REUSABLE MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,0.5,2.0,3.0,5900.0,8100.0,0.3729,1.0,5.0,4.0
SCORLINES,4753C - REUSABLE MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,1.0,1.33,0.33,5500.0,14900.0,1.7091,2.0,4.0,1.0
ALFAMART,4753D - KIDS MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,3.0,1.67,-0.4433,8233.0,10700.0,0.2996,6.0,5.0,-0.1667
SCORLINES,4753D - KIDS MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,1.0,1.33,0.33,14900.0,14900.0,0.0,2.0,4.0,1.0
SENSI,4753D - KIDS MASK,4753 - MASK,MISC & STATIONARY,1.26,1.27,0.0079,23.0,28.33,0.2317,20137.0,20479.0,0.017,42.0,68.0,0.619
ALFAMART,4753F - BOX MASK,4753 - MASK,MISC & STATIONARY,1.0,1.12,0.12,12.5,13.67,0.0936,32768.0,39307.0,0.1996,23.0,35.0,0.5217
SOS,4753F - BOX MASK,4753 - MASK,MISC & STATIONARY,1.0,1.22,0.22,1.5,3.0,1.0,42900.0,52433.0,0.2222,2.0,6.0,2.0
THANKFUL,4753F - BOX MASK,4753 - MASK,MISC & STATIONARY,1.0,,,1.5,,,54967.0,,,3.0,,
WINGSCARE,4753F - BOX MASK,4753 - MASK,MISC & STATIONARY,1.0,,,2.0,,,85025.0,,,4.0,,
ALFA,5442A - WOMEN SANDALS,5442 - LADIES SANDALS,MISC & STATIONARY,1.0,1.07,0.07,7.0,9.0,0.2857,30343.0,33144.0,0.0923,14.0,25.0,0.7857
ALFA,5443A - MEN SANDALS,5443 - MEN SANDALS,MISC & STATIONARY,1.06,1.08,0.0189,17.5,21.33,0.2189,28637.0,29495.0,0.03,35.0,60.0,0.7143
ALFAMART,5443A - MEN SANDALS,5443 - MEN SANDALS,MISC & STATIONARY,1.0,1.0,0.0,13.5,6.67,-0.5059,38359.0,37235.0,-0.0293,27.0,20.0,-0.2593
SCORLINES,5821A - UMBRELLA,5821 - UMBRELLA,MISC & STATIONARY,1.0,1.0,0.0,4.0,3.33,-0.1675,64525.0,64650.0,0.0019,8.0,10.0,0.25
BURUNG LAYANG,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,1.0,1.0,0.0,1.5,0.67,-0.5533,4900.0,4900.0,0.0,3.0,2.0,-0.3333
GAGA,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,2.72,1.74,-0.3603,498.5,178.33,-0.6423,9428.0,6242.0,-0.3379,887.0,490.0,-0.4476
INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,3.43,3.39,-0.0117,5281.0,4834.0,-0.0846,11449.0,11264.0,-0.0162,7290.0,9097.0,0.2479
MIE OVEN,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,1.45,1.33,-0.0828,5.5,1.0,-0.8182,4709.0,4267.0,-0.0939,11.0,3.0,-0.7273
RICHEESE,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,1.44,,,4.5,,,5156.0,,,9.0,,
SEDAAP,1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,2.27,2.62,0.1542,2367.0,2307.33,-0.0252,7400.0,8545.0,0.1547,3693.0,5040.0,0.3647
