BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
TROPICANA,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.59,1.79,0.1258,220.5,190.0,-0.1383,10318.0,11706.0,0.1345,381.0,486.0,0.2756
WRP,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,,,2.5,,,9500.0,,,5.0,,
TINI WINI BITI,2223A - CRACKER BISCUIT 10-30G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.53,1.37,-0.1046,117.0,77.33,-0.3391,5768.0,5208.0,-0.0971,211.0,207.0,-0.019
BISKIES,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.19,-0.048,93.5,85.67,-0.0837,8657.0,8231.0,-0.0492,170.0,235.0,0.3824
BRIO,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.13,1.18,0.0442,218.5,272.67,0.2479,6770.0,7053.0,0.0418,399.0,718.0,0.7995
KONGBAP,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,,1.0,,,3.0,,,11656.0,,,9.0,
OOPS,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,2.71,2.92,0.0775,7.0,8.0,0.1429,14014.0,14058.0,0.0031,12.0,23.0,0.9167
RITZ,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.24,-0.008,638.5,817.0,0.2796,12147.0,12124.0,-0.0019,1044.0,1853.0,0.7749
ROMA,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.17,1.19,0.0171,382.5,337.0,-0.119,11674.0,11908.0,0.02,662.0,816.0,0.2326
TINI WINI BITI,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.22,1.19,-0.0246,227.5,217.33,-0.0447,8287.0,8955.0,0.0806,390.0,558.0,0.4308
TRICKS,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.11,1.0,-0.0991,37.5,3.67,-0.9021,7955.0,7264.0,-0.0869,69.0,11.0,-0.8406
AIM,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.01,1.02,0.0099,54.0,54.0,0.0,14055.0,14690.0,0.0452,103.0,151.0,0.466
BRIO,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.14,1.13,-0.0088,134.5,170.67,0.2689,11363.0,11276.0,-0.0077,222.0,421.0,0.8964
GERY,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.16,1.17,0.0086,231.0,226.67,-0.0187,10239.0,10373.0,0.0131,395.0,582.0,0.4734
KHONG GUAN,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.03,1.43,0.3883,33.5,37.33,0.1143,9872.0,14289.0,0.4474,65.0,111.0,0.7077
KOKOLA,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.07,1.44,0.3458,94.0,56.0,-0.4043,8983.0,12155.0,0.3531,169.0,142.0,-0.1598
NISSIN,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.73,1.62,-0.0636,11.0,10.67,-0.03,12477.0,11375.0,-0.0883,22.0,27.0,0.2273
OOPS,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,2.0,2.0,0.0,1.0,1.33,0.33,19000.0,18700.0,-0.0158,2.0,4.0,1.0
PAROTI,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.27,1.22,-0.0394,366.5,298.67,-0.1851,7102.0,6853.0,-0.0351,614.0,737.0,0.2003
