SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
3432D - PANTS DIAPERS SIZE-M 24-38S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.16,1.13,-0.0259,364.0,358.67,-0.0146,1.84,2.22,0.2065,71599.0,68304.0,-0.046,131742.0,151635.0,0.151,395.0,484.0,0.2253
3432E - PANTS DIAPERS SIZE-L 18-22S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.06,1.04,-0.0189,36.0,34.67,-0.0369,1.24,1.53,0.2339,48217.0,49026.0,0.0168,59789.0,75010.0,0.2546,58.0,68.0,0.1724
3432F - PANTS DIAPERS SIZE-L 24-32S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.15,1.15,0.0,520.0,494.0,-0.05,1.95,2.31,0.1846,71791.0,71303.0,-0.0068,139992.0,164710.0,0.1766,532.0,641.0,0.2049
3432G - PANTS DIAPERS SIZE-XL 16-22S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.32,1.26,-0.0455,73.0,66.33,-0.0914,2.15,2.14,-0.0047,84397.0,79905.0,-0.0532,181454.0,170997.0,-0.0576,68.0,93.0,0.3676
3432H - PANTS DIAPERS SIZE-XL 24-32S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.22,1.23,0.0082,499.0,448.33,-0.1015,2.01,2.29,0.1393,79551.0,81020.0,0.0185,159898.0,185536.0,0.1603,497.0,588.0,0.1831
3432I - PANTS DIAPERS SIZE-XXL 18-22S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.09,1.13,0.0367,82.5,71.67,-0.1313,1.85,1.97,0.0649,66417.0,66844.0,0.0064,122871.0,131683.0,0.0717,89.0,109.0,0.2247
3432J - PANTS DIAPERS SIZE-XXL 24-30S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.15,1.23,0.0696,142.5,140.33,-0.0152,2.13,2.49,0.169,80918.0,88545.0,0.0943,172355.0,220477.0,0.2792,134.0,169.0,0.2612
3432K - PANTS DIAPERS 5-10S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.04,1.04,0.0,74.5,75.67,0.0157,1.37,1.51,0.1022,18804.0,18763.0,-0.0022,25761.0,28332.0,0.0998,109.0,150.0,0.3761
3432L - PANTS DIAPERS 36-70S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.2,1.13,-0.0583,64.5,60.33,-0.0647,1.4,1.47,0.05,108328.0,108420.0,0.0008,151659.0,159377.0,0.0509,92.0,123.0,0.337
3432M - PANTS DIAPERS CARTON,3432 - PANTS DIAPERS,MILK & DIAPERS,1.25,1.33,0.064,2.0,3.0,0.5,2.0,1.5,-0.25,230000.0,250733.0,0.0901,460000.0,376100.0,-0.1824,2.0,6.0,2.0
3211B - SHAMPOO 70-100ML,3211 - SHAMPOO,PERSONAL CARE,1.04,1.08,0.0385,105.0,137.0,0.3048,1.07,1.1,0.028,21850.0,22654.0,0.0368,23380.0,24919.0,0.0658,197.0,375.0,0.9036
3211C - SHAMPOO 130-250ML,3211 - SHAMPOO,PERSONAL CARE,1.19,1.18,-0.0084,1966.5,1739.33,-0.1155,1.25,1.35,0.08,34643.0,34107.0,-0.0155,43304.0,46044.0,0.0633,3159.0,3858.0,0.2213
3211D - SHAMPOO 270-450ML,3211 - SHAMPOO,PERSONAL CARE,1.14,1.14,0.0,401.0,380.67,-0.0507,1.13,1.23,0.0885,61916.0,63345.0,0.0231,69965.0,77914.0,0.1136,710.0,928.0,0.307
3211E - SHAMPOO 450-700ML,3211 - SHAMPOO,PERSONAL CARE,1.22,1.74,0.4262,70.5,125.0,0.773,1.08,1.68,0.5556,121239.0,188441.0,0.5543,130938.0,316581.0,1.4178,131.0,223.0,0.7023
3213A - CONDITIONER LEAVE ON 30-70ML,3213 - CONDITIONER,PERSONAL CARE,1.41,1.48,0.0496,52.5,55.67,0.0604,1.44,1.43,-0.0069,25794.0,27066.0,0.0493,37143.0,38704.0,0.042,73.0,117.0,0.6027
3213B - CONDITIONER 70-100ML,3213 - CONDITIONER,PERSONAL CARE,1.09,1.11,0.0183,137.0,125.67,-0.0827,1.19,1.19,0.0,21716.0,23735.0,0.093,25842.0,28245.0,0.093,231.0,318.0,0.3766
3213C - CONDITIONER 135-250ML,3213 - CONDITIONER,PERSONAL CARE,1.13,1.14,0.0088,236.5,205.33,-0.1318,1.16,1.28,0.1034,36238.0,37795.0,0.043,42036.0,48378.0,0.1509,409.0,480.0,0.1736
3213D - CONDITIONER 260-500ML,3213 - CONDITIONER,PERSONAL CARE,1.29,1.16,-0.1008,7.0,8.33,0.19,1.08,1.14,0.0556,89250.0,86460.0,-0.0313,96390.0,98564.0,0.0226,13.0,22.0,0.6923
3214A - HAIR TONIC,3214 - HAIR TONIC,PERSONAL CARE,1.1,1.01,-0.0818,24.0,26.33,0.0971,1.02,1.07,0.049,44498.0,41814.0,-0.0603,45388.0,44741.0,-0.0143,47.0,74.0,0.5745
