SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
"3443B - NURSING,BOTTLE,PACIFIER BTL","3443 - NURSING, BOTTLE & PACIFIER",MEDICINE & BABY CARE,1.06,1.15,0.0849,33.0,39.0,0.1818,1.05,1.07,0.019,51750.0,54004.0,0.0436,54338.0,57784.0,0.0634,63.0,109.0,0.7302
3444A - BABY EQUIPMENT,3444 - BABY EQUIPMENT,MEDICINE & BABY CARE,4.71,4.42,-0.0616,19.0,19.67,0.0353,1.41,1.59,0.1277,154629.0,138515.0,-0.1042,218027.0,220239.0,0.0101,27.0,37.0,0.3704
3446A - BABY LIQUID CLEANSER,3446 - BABY LIQUID CLEANSER,MEDICINE & BABY CARE,1.16,1.1,-0.0517,211.0,203.33,-0.0364,1.22,1.37,0.123,25764.0,25649.0,-0.0045,31432.0,35139.0,0.1179,345.0,444.0,0.287
2321A - POCKET CANDY,2321 - POCKET CANDY,MEJA KASIR,1.35,1.56,0.1556,1592.0,1307.67,-0.1786,1.21,1.24,0.0248,7898.0,9567.0,0.2113,9557.0,11863.0,0.2413,2637.0,3163.0,0.1995
2321B - POCKET CANDY TOY,2321 - POCKET CANDY,MEJA KASIR,1.09,1.02,-0.0642,34.5,35.33,0.0241,1.03,1.06,0.0291,36703.0,34270.0,-0.0663,37804.0,36326.0,-0.0391,67.0,100.0,0.4925
2321C - POCKET CANDY FRESHING THROAT,2321 - POCKET CANDY,MEJA KASIR,1.31,1.34,0.0229,772.0,837.0,0.0842,1.16,1.23,0.0603,18347.0,20108.0,0.096,21283.0,24733.0,0.1621,1334.0,2043.0,0.5315
2321D - LOLLIPOP CANDY,2321 - POCKET CANDY,MEJA KASIR,1.3,1.67,0.2846,1108.0,694.33,-0.3733,1.21,1.29,0.0661,4205.0,6073.0,0.4442,5088.0,7834.0,0.5397,1826.0,1617.0,-0.1145
2321E - POCKET CANDY GUMMY,2321 - POCKET CANDY,MEJA KASIR,1.44,1.44,0.0,2026.0,1893.33,-0.0655,1.35,1.45,0.0741,8648.0,8803.0,0.0179,11675.0,12764.0,0.0933,3012.0,3916.0,0.3001
2332A - BLOCK CHOCOLATE 10-29G,2332 - BLOCK CHOCOLATE,MEJA KASIR,1.38,1.37,-0.0072,619.5,680.0,0.0977,1.15,1.17,0.0174,13940.0,13732.0,-0.0149,16031.0,16066.0,0.0022,1076.0,1746.0,0.6227
2332B - BLOCK CHOCOLATE 30-49G,2332 - BLOCK CHOCOLATE,MEJA KASIR,1.32,1.76,0.3333,195.0,172.67,-0.1145,1.2,1.33,0.1083,16184.0,20567.0,0.2708,19421.0,27354.0,0.4085,324.0,389.0,0.2006
2332C - BLOCK CHOCOLATE 50-99G,2332 - BLOCK CHOCOLATE,MEJA KASIR,1.55,1.31,-0.1548,2657.0,1482.0,-0.4422,1.24,1.27,0.0242,31251.0,28103.0,-0.1007,38751.0,35691.0,-0.079,4275.0,3511.0,-0.1787
2332D - BLOCK CHOCOLATE >100G,2332 - BLOCK CHOCOLATE,MEJA KASIR,1.0,1.0,0.0,3.5,2.67,-0.2371,1.4,1.33,-0.05,89329.0,110050.0,0.232,125061.0,146366.0,0.1704,5.0,6.0,0.2
2332E - BLOCK CHOCOLATE PACK,2332 - BLOCK CHOCOLATE,MEJA KASIR,1.0,1.05,0.05,5.0,48.0,8.6,1.0,1.05,0.05,31360.0,38433.0,0.2255,31360.0,40355.0,0.2868,10.0,137.0,12.7
2341A - POCKET CHEWING GUM 10-40G,2341 - POCKET CHEWING GUM,MEJA KASIR,1.07,1.06,-0.0093,187.5,205.0,0.0933,1.07,1.19,0.1121,7253.0,7240.0,-0.0018,7761.0,8616.0,0.1102,352.0,518.0,0.4716
2341C - POCKET CHEWING GUM STICK,2341 - POCKET CHEWING GUM,MEJA KASIR,1.55,1.23,-0.2065,271.0,214.67,-0.2079,1.1,1.1,0.0,6187.0,5332.0,-0.1382,6806.0,5865.0,-0.1383,494.0,585.0,0.1842
2342A - BOTTLE CHEWING GUM,2342 - BOTTLE CHEWING GUM,MEJA KASIR,1.06,1.06,0.0,191.0,267.0,0.3979,1.1,1.16,0.0545,14167.0,14307.0,0.0099,15584.0,16596.0,0.0649,346.0,692.0,1.0
