SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,COCA COLA,OTHERS,1.25,,1.33,,4.0,,1.0,,12375.0,,12375.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,FOX'S,BAG,1.1,1.08,160.67,161.5,425.0,299.0,1.13,1.08,11399.0,10559.0,10088.0,9777.0,0.4214,0.0185,-0.0051,0.0463,0.0318,0.0796,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,GINGERBON,BAG,1.08,1.04,48.33,51.5,126.0,88.0,1.15,1.17,15381.0,14742.0,13375.0,12600.0,0.4318,0.0385,-0.0616,-0.0171,0.0615,0.0433,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,GOLIA,BAG,1.15,1.11,85.0,95.5,206.0,168.0,1.24,1.14,12422.0,10803.0,10018.0,9476.0,0.2262,0.036,-0.1099,0.0877,0.0572,0.1499,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,JAGOAN,OTHERS,1.0,,0.33,,1.0,,1.0,,9900.0,,9900.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,KAPAL API,OTHERS,1.0,1.0,2.33,2.5,5.0,5.0,1.4,1.0,11900.0,8500.0,8500.0,8500.0,0.0,0.0,-0.068,0.4,0.0,0.4,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,KIS,CAN,1.11,1.08,118.67,122.5,321.0,221.0,1.11,1.11,11025.0,10587.0,9932.0,9538.0,0.4525,0.0278,-0.0313,0.0,0.0413,0.0414,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,KIS,POUCH,1.07,1.01,45.67,35.5,129.0,68.0,1.06,1.04,10085.0,9203.0,9514.0,8849.0,0.8971,0.0594,0.2865,0.0192,0.0751,0.0958,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,KOJIMA,OTHERS,1.67,3.0,1.0,0.5,3.0,1.0,1.0,1.0,14167.0,25500.0,14167.0,25500.0,2.0,-0.4433,1.0,0.0,-0.4444,-0.4444,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,KOPIKO,CAN,1.15,1.1,194.0,167.5,486.0,306.0,1.2,1.09,14783.0,12322.0,12319.0,11305.0,0.5882,0.0455,0.1582,0.1009,0.0897,0.1997,Packtype,V1
