PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
446181,ALFAMART PENGHARUM RGN TEH 50G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.5,1.51,0.0067,63.5,53.67,-0.1548,1.03,1.07,0.0388,11415.0,11402.0,-0.0011,11757.0,12200.0,0.0377,123.0,150.0,0.2195
446182,ALFAMART PENGHARUM RGN KOPI50G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.45,1.43,-0.0138,19.0,29.33,0.5437,1.0,1.04,0.04,11495.0,10959.0,-0.0466,11495.0,11397.0,-0.0085,38.0,85.0,1.2368
408014,ALFAMART PENGHARUM RGN APEL 50G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.49,1.38,-0.0738,17.5,22.67,0.2954,1.06,1.1,0.0377,11657.0,11206.0,-0.0387,12356.0,12327.0,-0.0023,33.0,62.0,0.8788
408016,ALFAMART PENGHARUM RGNJERUK50G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.39,1.33,-0.0432,22.0,20.0,-0.0909,1.02,1.09,0.0686,11436.0,12057.0,0.0543,11665.0,13142.0,0.1266,43.0,55.0,0.2791
447023,AMBI PUR CAR DOWNY MYSTIQ 2.2ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.08,1.19,0.1019,6.0,5.33,-0.1117,1.2,1.23,0.025,48642.0,53319.0,0.0962,58370.0,65582.0,0.1236,10.0,13.0,0.3
450961,AMBI PUR CAR DOWNY PASSION2.2ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,,1.23,,,4.33,,,1.08,,,55262.0,,,59683.0,,,12.0,
470000,AMBI PUR VENTCLIP SKY BREEZE2ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.18,1.13,-0.0424,5.5,5.0,-0.0909,1.0,1.0,0.0,46527.0,45120.0,-0.0302,46527.0,45120.0,-0.0302,11.0,15.0,0.3636
470004,AMBI PUR CAR STR AQUA 7ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.43,1.1,-0.2308,3.5,3.33,-0.0486,1.0,1.0,0.0,74829.0,59440.0,-0.2057,74829.0,59440.0,-0.2057,7.0,10.0,0.4286
414785,BAGUS FRESH LUWAK COFFEE CAR,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.09,1.14,0.0459,5.5,7.0,0.2727,1.0,1.0,0.0,18309.0,19233.0,0.0505,18309.0,19233.0,0.0505,11.0,21.0,0.9091
407569,BAYFRESH GO ORANGE VERBENA (OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.5,0.5,1.5,0.67,-0.5533,1.0,1.0,0.0,12033.0,17850.0,0.4834,12033.0,17850.0,0.4834,3.0,2.0,-0.3333
407570,BAYFRESH HNG DARK ICE,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.09,1.05,-0.0367,23.5,34.67,0.4753,1.07,1.11,0.0374,16062.0,15627.0,-0.0271,17186.0,17346.0,0.0093,44.0,94.0,1.1364
436442,BAYFRESH GO V.ICE CREAM (OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,1.11,1.33,0.1982,4.5,2.0,-0.5556,1.12,1.0,-0.1071,13322.0,15733.0,0.181,14921.0,15733.0,0.0544,8.0,6.0,-0.25
470045,BAYFRESH HNG FROZEN LIME,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.02,1.02,0.0,20.0,19.33,-0.0335,1.03,1.18,0.1456,14785.0,15122.0,0.0228,15229.0,17844.0,0.1717,39.0,49.0,0.2564
470046,BAYFRESH HNG STRAW BUBBLEGUM,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.15,1.03,-0.1043,20.5,37.0,0.8049,1.02,1.11,0.0882,16951.0,15278.0,-0.0987,17290.0,16959.0,-0.0191,40.0,100.0,1.5
470047,BAYFRESH HNG VANILA COFFE,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.09,1.03,-0.055,33.5,32.67,-0.0248,1.03,1.04,0.0097,16269.0,15391.0,-0.054,16757.0,16007.0,-0.0448,65.0,94.0,0.4462
470048,BAYFRESH HNG SAKURA BLOOM,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,,,1.0,,,1.0,,,11800.0,,,11800.0,,,2.0,,
188217,GLADE CAR GEL APPLE 70G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.28,1.23,-0.0391,39.5,44.0,0.1139,1.13,1.06,-0.0619,16562.0,15945.0,-0.0373,18715.0,16902.0,-0.0969,70.0,125.0,0.7857
126520,STELLA DF RED KISS 7ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.06,1.05,-0.0094,16.0,13.0,-0.1875,1.03,1.08,0.0485,23684.0,23877.0,0.0081,24395.0,25787.0,0.0571,31.0,36.0,0.1613
126521,STELLA DF ORG BLOSSOM 7ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.08,1.07,-0.0093,13.0,13.67,0.0515,1.0,1.02,0.02,23962.0,24334.0,0.0155,23962.0,24821.0,0.0358,26.0,40.0,0.5385
407915,STELLA CAR FUN N' FRS HAPPYDAY,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.05,1.07,0.019,21.5,18.0,-0.1628,1.05,1.04,-0.0095,18084.0,18620.0,0.0296,18988.0,19365.0,0.0199,41.0,52.0,0.2683
407916,STELLA CAR FUN N' FRS FRUIT&FRS,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.15,1.04,-0.0957,23.5,17.33,-0.2626,1.04,1.08,0.0385,19819.0,18035.0,-0.09,20612.0,19478.0,-0.055,45.0,48.0,0.0667
449018,STELLA HANG N FLIP JASMINE 9ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.01,0.01,8.0,33.0,3.125,1.0,1.09,0.09,30500.0,30808.0,0.0101,30500.0,33581.0,0.101,16.0,91.0,4.6875
449019,STELLA HANG N FLIP AQUA 9ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.01,0.01,5.5,28.33,4.1509,1.0,1.12,0.12,30500.0,30859.0,0.0118,30500.0,34562.0,0.1332,11.0,76.0,5.9091
470011,STELLA LILY DREAM 7ML 2S,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.03,1.09,0.0583,18.0,15.67,-0.1294,1.0,1.02,0.02,22922.0,24247.0,0.0578,22922.0,24732.0,0.079,36.0,46.0,0.2778
470059,STELLA DF INDOOR VANILA AST 7ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.07,0.07,10.0,9.67,-0.033,1.0,1.07,0.07,22230.0,23859.0,0.0733,22230.0,25529.0,0.1484,20.0,27.0,0.35
432556,153 KRETEK 12,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.0,1.5,0.5,1.0,2.67,1.67,1.0,2.67,1.67,13900.0,21300.0,0.5324,13900.0,56871.0,3.0914,2.0,3.0,0.5
240030,AROMA SLIM 16,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.0,1.0,0.0,8.0,8.67,0.0837,1.6,1.62,0.0125,15662.0,15646.0,-0.001,25059.0,25347.0,0.0115,10.0,16.0,0.6
220802,BENTOEL SEJATI 12,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.67,1.48,-0.1138,30.5,28.0,-0.082,1.85,1.75,-0.0541,16741.0,14762.0,-0.1182,30971.0,25834.0,-0.1659,33.0,48.0,0.4545
448206,CAMEL KRETEK 12,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.19,1.06,-0.1092,34.5,36.33,0.053,1.72,1.73,0.0058,19097.0,16835.0,-0.1184,32847.0,29125.0,-0.1133,40.0,63.0,0.575
441935,CHIEF KRETEK 12,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.42,1.25,-0.1197,6.0,6.67,0.1117,1.71,1.18,-0.3099,15583.0,13750.0,-0.1176,26647.0,16225.0,-0.3911,7.0,17.0,1.4286
101257,DJARUM COKLAT 12,2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.38,1.93,0.3986,23.5,29.67,0.2626,1.52,1.98,0.3026,23543.0,33855.0,0.438,35785.0,67033.0,0.8732,31.0,45.0,0.4516
